Date, Open, High, Low, Close
01/29/24, 4892.95, 4929.31, 4887.40, 4927.93
01/26/24, 4888.91, 4906.69, 4881.47, 4890.97
01/25/24, 4886.66, 4898.15, 4869.34, 4894.16
01/24/24, 4888.56, 4903.68, 4865.94, 4868.55
01/23/24, 4856.80, 4866.48, 4844.37, 4864.60
01/22/24, 4853.42, 4868.41, 4844.05, 4850.43
01/19/24, 4796.28, 4842.07, 4785.87, 4839.81
01/18/24, 4760.10, 4785.79, 4740.57, 4780.94
01/17/24, 4739.13, 4744.23, 4714.82, 4739.21
01/16/24, 4772.35, 4782.34, 4747.12, 4765.98
01/12/24, 4791.18, 4802.40, 4768.98, 4783.83
01/11/24, 4792.13, 4798.50, 4739.58, 4780.24
01/10/24, 4759.94, 4790.80, 4756.20, 4783.45
01/09/24, 4741.93, 4765.47, 4730.35, 4756.50
01/08/24, 4703.70, 4764.54, 4699.82, 4763.54
01/05/24, 4690.57, 4721.49, 4682.11, 4697.24
01/04/24, 4697.42, 4726.78, 4687.53, 4688.68
01/03/24, 4725.07, 4729.29, 4699.71, 4704.81
01/02/24, 4745.20, 4754.33, 4722.67, 4742.83
12/29/23, 4782.88, 4788.43, 4751.99, 4769.83
12/28/23, 4786.44, 4793.30, 4780.98, 4783.35
12/27/23, 4773.45, 4785.39, 4768.90, 4781.58
12/26/23, 4758.86, 4784.72, 4758.45, 4774.75
12/22/23, 4753.92, 4772.94, 4736.77, 4754.63
12/21/23, 4724.29, 4748.71, 4708.35, 4746.75
12/20/23, 4764.73, 4778.01, 4697.82, 4698.35
12/19/23, 4743.72, 4768.69, 4743.72, 4768.37
12/18/23, 4725.58, 4749.52, 4725.58, 4740.56
12/15/23, 4714.23, 4725.53, 4704.69, 4719.19
12/14/23, 4721.04, 4738.57, 4694.34, 4719.55
12/13/23, 4646.20, 4709.69, 4643.23, 4707.09
12/12/23, 4618.30, 4643.93, 4608.09, 4643.70
12/11/23, 4593.39, 4623.71, 4593.39, 4622.44
12/08/23, 4576.20, 4609.23, 4574.06, 4604.37
12/07/23, 4568.84, 4590.92, 4565.22, 4585.59
12/06/23, 4586.23, 4590.74, 4546.50, 4549.34
12/05/23, 4557.25, 4578.56, 4551.68, 4567.18
12/04/23, 4564.37, 4572.37, 4546.72, 4569.78
12/01/23, 4559.43, 4599.39, 4554.71, 4594.63
11/30/23, 4554.87, 4569.89, 4537.24, 4567.80
11/29/23, 4571.84, 4587.64, 4547.15, 4550.58
11/28/23, 4545.55, 4568.14, 4540.51, 4554.89
11/27/23, 4554.86, 4560.52, 4546.32, 4550.43
11/24/23, 4555.84, 4560.31, 4552.80, 4559.34
11/22/23, 4553.04, 4568.43, 4545.05, 4556.62
11/21/23, 4538.77, 4542.14, 4525.51, 4538.19
11/20/23, 4511.70, 4557.11, 4510.36, 4547.38
11/17/23, 4509.55, 4520.12, 4499.66, 4514.02
11/16/23, 4497.08, 4511.99, 4487.83, 4508.24
11/15/23, 4505.30, 4521.17, 4495.31, 4502.88
11/14/23, 4458.97, 4508.67, 4458.97, 4495.70
11/13/23, 4406.66, 4421.76, 4393.82, 4411.55
11/10/23, 4364.15, 4418.03, 4353.34, 4415.24
11/09/23, 4391.41, 4393.40, 4343.94, 4347.35
11/08/23, 4384.37, 4391.20, 4359.76, 4382.78
11/07/23, 4366.21, 4386.26, 4355.41, 4378.38
11/06/23, 4364.27, 4372.21, 4347.53, 4365.98
11/03/23, 4334.23, 4373.62, 4334.23, 4358.34
11/02/23, 4268.26, 4319.72, 4268.26, 4317.78
11/01/23, 4201.27, 4245.64, 4197.74, 4237.86
10/31/23, 4171.33, 4195.55, 4153.12, 4193.80
10/30/23, 4139.39, 4177.47, 4132.94, 4166.82
10/27/23, 4152.93, 4156.70, 4103.78, 4117.37
10/26/23, 4175.99, 4183.60, 4127.90, 4137.23
10/25/23, 4232.42, 4232.42, 4181.42, 4186.77
10/24/23, 4235.79, 4259.38, 4219.43, 4247.68
10/23/23, 4210.40, 4255.84, 4189.22, 4217.04
10/20/23, 4273.85, 4276.56, 4223.03, 4224.16
10/19/23, 4321.36, 4339.54, 4269.69, 4278.00
10/18/23, 4357.35, 4364.20, 4303.84, 4314.60
10/17/23, 4345.23, 4393.57, 4337.54, 4373.20
10/16/23, 4342.37, 4383.33, 4342.37, 4373.63
10/13/23, 4360.49, 4377.10, 4311.97, 4327.78
10/12/23, 4380.94, 4385.85, 4325.43, 4349.61
10/11/23, 4366.59, 4378.64, 4345.34, 4376.95
10/10/23, 4339.75, 4385.46, 4339.64, 4358.24
10/09/23, 4289.02, 4341.73, 4283.79, 4335.66
10/06/23, 4234.79, 4324.10, 4219.55, 4308.50
10/05/23, 4259.31, 4267.13, 4225.91, 4258.19
10/04/23, 4233.83, 4268.50, 4220.48, 4263.75
10/03/23, 4269.75, 4281.15, 4216.45, 4229.45
10/02/23, 4284.52, 4300.58, 4260.21, 4288.39
